,,type 1,type 1,type 2,type 2,type 3,type 3,type 4,type 4,type 5,type 5
,6,,,0.28,250,0.25,250,0.22,250,0.2,250
,7,,,0.28,250,0.26,250,0.23,250,0.2,250
,8,,,0.29,250,0.26,250,0.23,250,0.2,250
,9,,,0.3,250,0.27,250,0.23,250,0.21,250
,10,,,0.31,250,0.28,250,0.24,250,0.21,250
,12,,,0.33,300,0.29,250,0.24,250,0.21,250
,14,,,0.35,350,0.31,250,0.25,250,0.22,250
,16,,,,,0.33,300,0.26,250,0.22,250
,20,,,,,,,0.29,250,0.23,250
,24,,,,,,,0.32,300,0.26,250
,28,,,,,,,0.36,350,0.29,250
,32,,,,,,,,,0.32,300
20,2.5,,,0.33,250,0.29,250,0.25,250,0.21,250
,3,,,0.31,250,0.28,250,0.24,250,0.21,250
,4,,,0.3,250,0.27,250,0.23,250,0.21,250
,5,,,0.29,250,0.26,250,0.23,250,0.2,250
,6,,,0.29,250,0.26,250,0.23,250,0.2,250
,7,,,0.3,250,0.27,250,0.23,250,0.21,250
,8,,,0.3,250,0.27,250,0.24,250,0.21,250
,9,,,0.31,250,0.28,250,0.24,250,0.21,250
,10,,,0.32,250,0.29,250,0.24,250,0.21,250
,12,,,0.35,300,0.31,250,0.25,250,0.22,250
,14,,,0.37,350,0.33,250,0.26,250,0.22,250
,16,,,,,0.35,300,0.28,250,0.23,250
,20,,,,,,,0.32,250,0.24,250
,24,,,,,,,0.35,300,0.28,250
,28,,,,,,,0.38,350,0.32,250
,32,,,,,,,,,0.35,300
24,2.5,,,0.36,250,0.32,200,0.26,200,0.22,200
,3,,,0.33,200,0.3,200,0.25,200,0.22,200
,4,,,0.32,200,0.29,200,0.25,200,0.21,200
,5,,,0.31,200,0.28,200,0.24,200,0.21,200
,6,,,0.31,200,0.28,200,0.24,200,0.21,200
,7,,,0.32,200,0.29,200,0.25,200,0.22,200
,8,,,0.33,200,0.3,200,0.25,200,0.22,200
,9,,,0.35,250,0.3,200,0.26,200,0.22,200
,10,,,0.36,250,0.31,200,0.26,200,0.22,200
,12,,,0.39,300,0.33,200,0.27,200,0.23,200
,14,,,0.41,350,0.36,250,0.29,200,0.24,200
,16,,,,,0.38,300,0.31,200,0.24,200
,20,,,,,,,0.36,250,0.26,200
,24,,,,,,,0.4,300,0.32,200
,28,,,,,,,0.43,350,0.37,250
,32,,,,,,,,,0.4,300
30,2.5,,,0.4,250,0.34,150,0.29,150,0.24,150
,3,,,0.37,200,0.33,150,0.28,150,0.23,150
,4,,,0.36,200,0.32,150,0.27,150,0.23,150
,5,,,0.35,200,0.31,150,0.26,150,0.23,150
,6,,,0.35,200,0.31,150,0.27,150,0.23,150
,7,,,0.36,200,0.32,150,0.27,150,0.23,150
,8,,,0.37,200,0.33,150,0.27,150,0.23,150
,9,,,0.39,250,0.34,150,0.28,150,0.24,150
,10,,,0.41,250,0.35,200,0.29,150,0.24,150
,12,,,0.44,300,0.38,200,0.3,150,0.25,150
,14,,,0.48,350,0.41,250,0.33,150,0.26,150
,16,,,,,0.44,300,0.37,200,0.26,150
,20,,,,,,,0.43,300,0.29,150
,24,,,,,,,0.48,350,0.38,200
,28,,,,,,,,,0.44,300
,32,,,,,,,,,0.48,350
36,2.5,,,0.43,250,0.37,150,0.31,150,0.25,150
,3,,,0.41,200,0.36,150,0.3,150,0.25,150
,4,,,0.39,200,0.34,150,0.29,150,0.24,150
,5,,,0.39,200,0.34,150,0.29,150,0.24,150
,6,,,0.39,200,0.34,150,0.29,150,0.24,150
,7,,,0.4,200,0.35,150,0.29,150,0.24,150
,8,,,0.42,200,0.36,150,0.3,150,0.25,150
,9,,,0.44,250,0.38,150,0.31,150,0.25,150
,10,,,0.46,250,0.39,200,0.31,150,0.26,150
,12,,,0.5,300,0.42,200,0.33,150,0.27,150
,14,,,0.54,350,0.46,250,0.38,150,0.28,150
,16,,,,,0.5,300,0.43,250,0.29,150
,20,,,,,,,0.51,300,0.33,150
,24,,,,,,,0.56,350,0.44,250
,28,,,,,,,,,0.51,300
,32,,,,,,,,,0.56,350
42,2.5,,,0.47,200,0.4,150,0.32,150,0.27,150
,3,,,0.44,200,0.38,150,0.31,150,0.26,150
,4,,,0.42,200,0.37,150,0.3,150,0.25,150
,5,,,0.43,200,0.37,150,0.31,150,0.26,150
,6,,,0.43,200,0.37,150,0.31,150,0.26,150
,7,,,0.44,200,0.38,150,0.31,150,0.26,150
,8,,,0.46,200,0.4,150,0.32,150,0.26,150
,9,,,0.48,250,0.41,150,0.33,150,0.27,150
,10,,,0.5,250,0.43,200,0.34,150,0.27,150
,12,,,0.55,300,0.47,200,0.36,150,0.28,150
,14,,,0.6,350,0.52,250,0.43,200,0.3,150
,16,,,,,0.57,300,0.49,250,0.31,150
,20,,,,,,,0.57,300,0.38,150
,24,,,,,,,,,0.5,250
,28,,,,,,,,,0.58,350
,32,,,,,,,,,0.63,350
48,2.5,,,0.5,200,0.44,150,0.35,150,0.29,150
,3,,,0.48,200,0.42,150,0.34,150,0.28,150
,4,,,0.46,150,0.41,150,0.33,150,0.28,150
,5,,,0.47,200,0.41,150,0.34,150,0.28,150
,6,,,0.48,200,0.41,150,0.34,150,0.28,150
,7,,,0.49,200,0.43,150,0.35,150,0.28,150
,8,,,0.51,200,0.44,150,0.35,150,0.29,150
,9,,,0.54,250,0.46,150,0.37,150,0.29,150
,10,,,0.56,250,0.48,200,0.38,150,0.3,150
,12,,,0.62,300,0.54,250,0.4,150,0.31,150
,14,,,0.67,350,0.6,300,0.49,200,0.33,150
,16,,,,,0.65,350,0.56,250,0.34,150
,20,,,,,,,0.66,350,0.43,150
,24,,,,,,,,,0.57,250
,28,,,,,,,,,0.66,350
54,2.5,,,0.54,200,0.47,150,0.38,150,0.31,150
,3,,,0.53,200,0.46,150,0.37,150,0.3,150
,4,,,0.51,150,0.44,150,0.36,150,0.3,150
,5,,,0.52,200,0.45,150,0.37,150,0.3,150
,6,,,0.53,200,0.46,150,0.37,150,0.3,150
,7,,,0.54,200,0.47,150,0.38,150,0.31,150
,8,,,0.57,200,0.49,150,0.39,150,0.32,150
,9,,,0.6,250,0.51,150,0.4,150,0.32,150
,10,,,0.63,250,0.53,200,0.41,150,0.33,150
,12,,,0.69,300,0.61,250,0.44,150,0.34,150
,14,,,0.75,350,0.68,300,0.55,200,0.36,150
,16,,,,,0.73,350,0.63,250,0.37,150
,20,,,,,,,0.74,350,0.48,150
,24,,,,,,,,,0.64,250
,28,,,,,,,,,0.74,350
60,2.5,,,0.56,200,0.48,150,0.39,150,0.32,150
,3,,,0.54,150,0.47,150,0.38,150,0.31,150
,4,,,0.53,150,0.46,150,0.38,150,0.31,150
,5,,,0.54,150,0.47,150,0.38,150,0.31,150
,6,,,0.55,200,0.48,150,0.39,150,0.31,150
,7,,,0.57,200,0.49,150,0.39,150,0.32,150
,8,,,0.59,200,0.51,150,0.4,150,0.33,150
,9,,,0.63,250,0.53,150,0.42,150,0.33,150
,10,,,0.67,250,0.55,200,0.43,150,0.34,150
,12,,,0.74,300,0.65,250,0.46,150,0.35,150
,14,,,0.79,350,0.72,300,0.58,200,0.37,150
,16,,,,,0.78,350,0.67,250,0.38,150
,20,,,,,,,0.79,350,0.51,150
,24,,,,,,,,,0.68,250
,28,,,,,,,,,0.79,350
64,2.5,,,0.58,200,0.5,150,0.4,150,0.32,150
,3,,,0.56,150,0.49,150,0.39,150,0.32,150
,4,,,0.55,150,0.48,150,0.39,150,0.32,150
,5,,,0.56,150,0.48,150,0.39,150,0.32,150
,6,,,0.57,200,0.49,150,0.4,150,0.32,150
,7,,,0.59,200,0.51,150,0.41,150,0.33,150
,8,,,0.62,200,0.53,150,0.42,150,0.33,150
,9,,,0.67,250,0.55,150,0.43,150,0.34,150
,10,,,0.7,250,0.58,200,0.45,150,0.35,150
,12,,,0.78,300,0.68,250,0.48,150,0.37,150
,14,,,0.84,350,0.76,300,0.61,200,0.38,150
,16,,,,,0.82,350,0.7,250,0.4,150
,20,,,,,,,0.83,350,0.54,150
,24,,,,,,,,,0.72,250
,28,,,,,,,,,0.83,350
